"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"STAT5A"	"PIK3R5"	"171"	"0.718460059712209"	"Sig-non"
"STAT5B"	"JAK1"	"172"	"0.718812607634129"	"Sig-sig"
"STAT5B"	"SHC1"	"173"	"0.718948125404068"	"Sig-sig"
"STAT5B"	"GRB2"	"174"	"0.719360202909235"	"Sig-non"
"STAT5B"	"SOS1"	"175"	"0.719527782164603"	"Sig-sig"
"STAT5B"	"SOS2"	"176"	"0.719697734606608"	"Sig-sig"
"STAT5B"	"HRAS"	"177"	"0.720251139164914"	"Sig-non"
"STAT5B"	"KRAS"	"178"	"0.720723229783789"	"Sig-sig"
"STAT5B"	"MRAS"	"179"	"0.720898627211251"	"Sig-non"
"STAT5B"	"NRAS"	"180"	"0.721101175705628"	"Sig-sig"
"STAT5B"	"RRAS"	"181"	"0.721294391795956"	"Sig-sig"
"STAT5B"	"RRAS2"	"182"	"0.722180011585946"	"Sig-sig"
"STAT5B"	"RAF1"	"183"	"0.722404508132522"	"Sig-non"
"STAT5B"	"MAP2K1"	"184"	"0.722463674093219"	"Sig-non"
"STAT5B"	"MAP2K2"	"185"	"0.722558997284453"	"Sig-sig"
"STAT5B"	"MAPK1"	"186"	"0.722745650975217"	"Sig-sig"
"STAT5B"	"MAPK3"	"187"	"0.722847706420618"	"Sig-sig"
"STAT5B"	"FOS"	"188"	"0.723457057151947"	"Sig-sig"
"STAT5B"	"JUN"	"189"	"0.723630599883896"	"Sig-sig"
"STAT5B"	"PTPN11"	"190"	"0.723767812298635"	"Sig-non"
"STAT5B"	"PIK3C2A"	"191"	"0.723827839550707"	"Sig-sig"
"STAT5B"	"PIK3C2B"	"192"	"0.724018853365191"	"Sig-sig"
"STAT5B"	"PIK3C2G"	"193"	"0.72415980016136"	"Sig-non"
"STAT5B"	"PIK3C3"	"194"	"0.724302275717372"	"Sig-non"
"STAT5B"	"PIK3CA"	"195"	"0.724689362746836"	"Sig-non"
"STAT5B"	"PIK3CB"	"196"	"0.725207813474012"	"Sig-non"
"STAT5B"	"PIK3CD"	"197"	"0.725512244537882"	"Sig-sig"
"STAT5B"	"PIK3CG"	"198"	"0.725624741525998"	"Sig-sig"
"STAT5B"	"PIK3R1"	"199"	"0.725946273334806"	"Sig-sig"
"STAT5B"	"PIK3R2"	"200"	"0.726223000667336"	"Sig-sig"
"STAT5B"	"PIK3R3"	"201"	"0.726495965535061"	"Sig-non"
"STAT5B"	"PIK3R5"	"202"	"0.726524854899568"	"Sig-non"
"JAK1"	"SHC1"	"203"	"0.726956173381417"	"Sig-sig"
"JAK1"	"GRB2"	"204"	"0.727378663746683"	"Sig-non"
"JAK1"	"SOS1"	"205"	"0.727564011785565"	"Sig-sig"
"JAK1"	"SOS2"	"206"	"0.727660781636998"	"Sig-sig"
"JAK1"	"HRAS"	"207"	"0.727697806507167"	"Sig-non"
